Region,Alliance,Rank,Votes,Result,Candidate,Party,Constituency,SeatsWon,rcount_BJP_cong_jds_nota,ResultMinority
Bombay Karnataka,Others_a,5th and above,218,Lost_,ASODE JANGLU SATTYAPPA,Independent,Kudachi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,201,Lost_,DR. JASMIN SALEEM ALASE,Independent,Kudachi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,194,Lost_,RAJU APPASAHEB NIPPANIKAR,Bharatiya Republican Paksha,Kudachi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,184,Lost_,SURENDRA UGARE,Bahujan Mukti Party,Kudachi,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,5th and above,348,Lost_,None of the Above,NOTA,Kudachi,0,1,Lost - had less than 20% votes
Central Karnataka,BJP,1st,50085,Won_,N.Y. GOPALAKRISHNA,Bharatiya Janata Party,Kudligi,1,1,Won
Central Karnataka,Cong-JDS,2nd,39272,Lost_,N.T. BOMMANNA,Janata Dal (Secular),Kudligi,0,1,Lost
Central Karnataka,Others_a,3rd,29514,Lost_,LOKESH. V. NAYAKA,Independent,Kudligi,0,0,Lost - had less than 20% votes
Central Karnataka,Cong-JDS,4th,23316,Lost_,RAGHU GUJJAL,Indian National Congress,Kudligi,0,1,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,3414,Lost_,H.VEERANNA,Communist Party of India,Kudligi,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,1412,Lost_,BASAPPA. N,Sarva Janata Party,Kudligi,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,1035,Lost_,H. P. SHARANAPPA,All India Mahila Empowerment Party,Kudligi,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,1016,Lost_,MAHADEVAPPA,Independent,Kudligi,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,957,Lost_,G.ESHAPPA,Janata Dal (United),Kudligi,0,0,Lost - had less than 20% votes
Central Karnataka,NOTA_a,5th and above,2055,Lost_,None of the Above,NOTA,Kudligi,0,1,Lost - had less than 20% votes
Coastal Karnataka,BJP,1st,59392,Won_,DINAKAR KESHAV SHETTY,Bharatiya Janata Party,Kumta,1,1,Won
Coastal Karnataka,Cong-JDS,2nd,26642,Lost_,SHARADA MOHAN SHETTY,Indian National Congress,Kumta,0,1,Lost - had less than 20% votes
Coastal Karnataka,Others_a,3rd,20474,Lost_,SURAJ NAIK SONI,Independent,Kumta,0,0,Lost - had less than 20% votes
Coastal Karnataka,Cong-JDS,4th,16561,Lost_,NAYAK PRADEEP DAYANAND,Janata Dal (Secular),Kumta,0,1,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,11512,Lost_,YASHODHAR G. NAIK,Independent,Kumta,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,5089,Lost_,KRISHNA JATTI GOUDA,Independent,Kumta,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,1274,Lost_,MOHAN BAGLU PATGAR,Indian New Congress Party,Kumta,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,984,Lost_,NAGRAJ .N. NAIK,All India Mahila Empowerment Party,Kumta,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,758,Lost_,SUMANA HEGDE,Independent,Kumta,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,531,Lost_,PRASHANT SHANKAR NAIK,Independent,Kumta,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,412,Lost_,GANESH AMKUSH GOUDA,Independent,Kumta,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,356,Lost_,NAGRAJ SHRIDHAR SHET,Rashtriya Jansambhavna Party,Kumta,0,0,Lost - had less than 20% votes
Coastal Karnataka,NOTA_a,5th and above,2192,Lost_,None of the Above,NOTA,Kumta,0,1,Lost - had less than 20% votes
Coastal Karnataka,BJP,1st,103434,Won_,HALADY SRINIVAS SHETTY,Bharatiya Janata Party,Kundapura,1,1,Won - had more than 50% votes
Coastal Karnataka,Cong-JDS,2nd,47029,Lost_,RAKESH MALLI,Indian National Congress,Kundapura,0,1,Lost
Coastal Karnataka,Cong-JDS,3rd,2712,Lost_,THEKKATTE PRAKASH SHETTY,Janata Dal (Secular),Kundapura,0,1,Lost - had less than 20% votes
Coastal Karnataka,Others_a,4th,2628,Lost_,RAJIV KOTIAN,Janata Dal (United),Kundapura,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,1028,Lost_,SUDHAKARA SOORGOLI,Republican Party of India (A),Kundapura,0,0,Lost - had less than 20% votes
Coastal Karnataka,NOTA_a,5th and above,1813,Lost_,None of the Above,NOTA,Kundapura,0,1,Lost - had less than 20% votes
Bombay Karnataka,Cong-JDS,1st,64871,Won_,CHANNABASAPPA SATHYAPPA SHIVALLI,Indian National Congress,Kundgol,1,1,Won
Bombay Karnataka,BJP,2nd,64237,Lost_,CHIKKANAGOUDRA SIDDANAGOUD ISHWARAGOD,Bharatiya Janata Party,Kundgol,0,1,Lost
Bombay Karnataka,Others_a,3rd,7318,Lost_,HAJARATALI A SHEKH JODAMANI,Janata Dal (United),Kundgol,0,0,Lost - had less than 20% votes
Bombay Karnataka,Cong-JDS,4th,6280,Lost_,AKKI MALLIKARJUNA SAHADEVAPPA,Janata Dal (Secular),Kundgol,0,1,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,827,Lost_,BASAVARAJ SHIVAPPA SOMAVARAD,Indian New Congress Party,Kundgol,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,684,Lost_,SHANTAPPA VEERAPPA ALADAKATTI,Independent,Kundgol,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,604,Lost_,VEERAPPA GURUSHANTAPPA MARADAGI,Independent,Kundgol,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,476,Lost_,SHAILA SURESH GONI,All India Mahila Empowerment Party,Kundgol,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,308,Lost_,NAGAPPA YALLAPPA BALAGALI,Independent,Kundgol,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,302,Lost_,IRAYYA SHIVALINGAYYA HIREMATH,Independent,Kundgol,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,297,Lost_,YALLAPPA HANAMAPPA DABAGONDI,Independent,Kundgol,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,288,Lost_,NINGAPPA SIDDAPPA BADIGER,Independent,Kundgol,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,5th and above,1032,Lost_,None of the Above,NOTA,Kundgol,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,58697,Won_,H.D. RANGANATH,Indian National Congress,Kunigal,1,1,Won
Southern Karnataka,BJP,2nd,53097,Lost_,D KRISHNA KUMAR,Bharatiya Janata Party,Kunigal,0,1,Lost
Southern Karnataka,Cong-JDS,3rd,44476,Lost_,D. NAGARAJAIAH,Janata Dal (Secular),Kunigal,0,1,Lost
Southern Karnataka,Others_a,4th,2869,Lost_,ANAND PATEL HULIKATTE,Karnataka Rajya Ryota Sangha,Kunigal,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,527,Lost_,H B SHIVALINGAIAH,Independent,Kunigal,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,485,Lost_,H.A JAYARAMAIAH,Independent,Kunigal,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,343,Lost_,BHAGYALAKSHMI E,Independent,Kunigal,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,240,Lost_,HERUR DHANARAJ,Republican Party of India (A),Kunigal,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,222,Lost_,B.T. THIRUMALEGOWDA,Independent,Kunigal,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,137,Lost_,LAKSHMINARAYANA GOWDA,Samajwadi Party,Kunigal,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,5th and above,830,Lost_,None of the Above,NOTA,Kunigal,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Cong-JDS,1st,87567,Won_,AMAREGOUDA LINGANAGOUDA PATIL BAYYAPUR,Indian National Congress,Kushtagi,1,1,Won - had more than 50% votes
Hyderabad Karnataka,BJP,2nd,69536,Lost_,DODDANAGOUDA HANAMAGOUDA PATIL,Bharatiya Janata Party,Kushtagi,0,1,Lost
Hyderabad Karnataka,Cong-JDS,3rd,4002,Lost_,H.C.NEERAVARI,Janata Dal (Secular),Kushtagi,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1152,Lost_,VAZEER B GONAL,Independent,Kushtagi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,553,Lost_,RAMANAGOUDA MALIPATIL,Independent,Kushtagi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,492,Lost_,MANJULA MARIYAPPA MADIVAL,Indian New Congress Party,Kushtagi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,335,Lost_,BALRAJ YADAV,Independent,Kushtagi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,303,Lost_,YALLANAGOUDA,Rashtriya Jansambhavna Party,Kushtagi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,249,Lost_,SHIVAREDDY SAHEBGOUDA,Hindustan Janta Party,Kushtagi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,4th,1867,Lost_,None of the Above,NOTA,Kushtagi,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Cong-JDS,1st,54230,Won_,D. S. HOOLAGERI,Indian National Congress,Lingsugur,1,1,Won
Hyderabad Karnataka,Cong-JDS,2nd,49284,Lost_,BANDI.SIDDU,Janata Dal (Secular),Lingsugur,0,1,Lost
Hyderabad Karnataka,BJP,3rd,47385,Lost_,MANAPPA D VAJJAL,Bharatiya Janata Party,Lingsugur,0,1,Lost
Hyderabad Karnataka,Others_a,4th,2334,Lost_,R MANASAYYA,Communist Party of India (Marxist-Leninist) Red Star,Lingsugur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,2056,Lost_,A BALASWAMY KODLI,Independent,Lingsugur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1627,Lost_,HANUMANTA KAREKALLU,Indian New Congress Party,Lingsugur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1359,Lost_,SOMALINGA DUBARI,Independent,Lingsugur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1301,Lost_,SHIVAPUTRA CHALUVADI,Independent,Lingsugur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1221,Lost_,SHRINIVAS BHOVI,Independent,Lingsugur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,657,Lost_,NAGARAJ MOTI,Independent,Lingsugur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,621,Lost_,HONNAPPA,All India Mahila Empowerment Party,Lingsugur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,5th and above,2074,Lost_,None of the Above,NOTA,Lingsugur,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,109239,Won_,D.C.THAMMANNA,Janata Dal (Secular),Maddur,1,1,Won - had more than 50% votes
Southern Karnataka,Cong-JDS,2nd,55209,Lost_,MADHU G MADEGOWDA,Indian National Congress,Maddur,0,1,Lost
Southern Karnataka,BJP,3rd,4159,Lost_,MADDURU SATHISHA,Bharatiya Janata Party,Maddur,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,450,Lost_,LINGEGOWDA S H,Swaraj India,Maddur,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,429,Lost_,VENKATESHA,Independent,Maddur,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,404,Lost_,SHIVAMADEGOWDA K R,Independent,Maddur,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,182,Lost_,VENKATESHA B,Dr. Ambedkar People's Party,Maddur,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,151,Lost_,DR.MANOJITH S S,Federal Congress of India,Maddur,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,146,Lost_,P.S. MAHESH KUMAR,Independent,Maddur,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,101,Lost_,MAHESHA S,Independent,Maddur,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,98,Lost_,CHETHAN B,Independent,Maddur,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,90,Lost_,N C PUTTARAJU,Independent,Maddur,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,87,Lost_,HEENA KOUSER,All India Mahila Empowerment Party,Maddur,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,4th,1350,Lost_,None of the Above,NOTA,Maddur,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,88521,Won_,M.V. VEERABHADRAIAH,Janata Dal (Secular),Madhugiri,1,1,Won - had more than 50% votes
Southern Karnataka,Cong-JDS,2nd,69947,Lost_,KYATHASANDRA N.RAJANNA,Indian National Congress,Madhugiri,0,1,Lost
Southern Karnataka,BJP,3rd,2911,Lost_,RAMESH REDDY S.E.,Bharatiya Janata Party,Madhugiri,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,4th,1532,Lost_,VEERABHADRESHAIAH,Independent,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,740,Lost_,MUJEEBUR REHMAN,All India Mahila Empowerment Party,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,486,Lost_,SRINIVASA,Independent,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,417,Lost_,K.R.RAJANNA,Independent,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,175,Lost_,RAGHAVENDRA S.V.,Samajwadi Party,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,165,Lost_,MARUTHI G.H.,Independent,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,158,Lost_,UDAYA KUMARA,Independent,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,155,Lost_,K.C.CHOWDAPPA KABATHANAHALLY,Independent,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,133,Lost_,SYED MUZAMIL PASHA,Karnataka Pragnyavantha Janatha Party,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,100,Lost_,LEADER BHASKAR,Independent,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,97,Lost_,B.M.CHOLARAJU ADVOCATE (B.M.C.RAJU),Independent,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,95,Lost_,BALARAMA S T,Independent,Madhugiri,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,5th and above,428,Lost_,None of the Above,NOTA,Madhugiri,0,1,Lost - had less than 20% votes
Coastal Karnataka,BJP,1st,70631,Won_,APPACHU RANJAN M P,Bharatiya Janata Party,Madikeri,1,1,Won
Coastal Karnataka,Cong-JDS,2nd,54616,Lost_,B A JIVIJAYA,Janata Dal (Secular),Madikeri,0,1,Lost
Coastal Karnataka,Cong-JDS,3rd,38219,Lost_,K P CHANDRAKALA,Indian National Congress,Madikeri,0,1,Lost
Coastal Karnataka,Others_a,5th and above,1124,Lost_,BHARGAVA C J,Akhil Bharat Hindu Mahasabha,Madikeri,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,1005,Lost_,A MOHAMMED HANEEF,Independent,Madikeri,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,545,Lost_,RASHEEDA BEGUM,All India Mahila Empowerment Party,Madikeri,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,483,Lost_,P S YADURAPPA,Independent,Madikeri,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,368,Lost_,K B RAJU,Bharatiya Republican Paksha,Madikeri,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,331,Lost_,B M THIMMAIAH,Independent,Madikeri,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,283,Lost_,C U KISHAN,Independent,Madikeri,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,238,Lost_,M KHALEEL,Independent,Madikeri,0,0,Lost - had less than 20% votes
Coastal Karnataka,NOTA_a,4th,1615,Lost_,None of the Above,NOTA,Madikeri,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Cong-JDS,1st,119492,Won_,A. MANJUNATH,Janata Dal (Secular),Magadi,1,1,Won - had more than 50% votes
Bengaluru Karnataka,Cong-JDS,2nd,68067,Lost_,H.C. BALAKRISHNA,Indian National Congress,Magadi,0,1,Lost
Bengaluru Karnataka,BJP,3rd,4410,Lost_,M.C.HANUMANTHARAJ,Bharatiya Janata Party,Magadi,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,600,Lost_,MURALI.B,Independent,Magadi,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,223,Lost_,D.M.MADEGOWDA,All India Mahila Empowerment Party,Magadi,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,217,Lost_,PRASHANT.M,Independent,Magadi,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,112,Lost_,NAVEENKUMAR,Independent,Magadi,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,94,Lost_,D.SHIVAKUMAR,Samajwadi Party,Magadi,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,91,Lost_,M.G.JAYANANDA SWAMY,Independent,Magadi,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,73,Lost_,NARASIMHAMURTHY.H,Independent,Magadi,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,4th,839,Lost_,None of the Above,NOTA,Magadi,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,BJP,1st,141682,Won_,ARAVIND LIMBAVALI,Bharatiya Janata Party,Mahadevapura,1,1,Won
Bengaluru Karnataka,Cong-JDS,2nd,123898,Lost_,A C SRINIVASA,Indian National Congress,Mahadevapura,0,1,Lost
Bengaluru Karnataka,Cong-JDS,3rd,6391,Lost_,SATHISH K,Janata Dal (Secular),Mahadevapura,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,4th,3852,Lost_,NAGESH T,Independent,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,1336,Lost_,B R BHASKAR PRASAD,Aam Aadmi Party,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,1184,Lost_,P RAMESH CHANDER,Swaraj India,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,473,Lost_,V SRINIVASA,Independent,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,370,Lost_,V UMA,Karnataka Jantha Paksha,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,290,Lost_,SRINIVASA,Independent,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,282,Lost_,NANDAKUMAR R,All India Mahila Empowerment Party,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,278,Lost_,A LAKSHMAIAH,Independent,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,250,Lost_,J UDAY KUMAR,Independent,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,248,Lost_,DR. H R SURENDRA,Republican Party of India (A),Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,169,Lost_,S M KRISHNA,Bharatiya Praja Paksha,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,167,Lost_,K KRISHNA,Republican Sena,Mahadevapura,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,5th and above,3482,Lost_,None of the Above,NOTA,Mahadevapura,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Cong-JDS,1st,88218,Won_,K. GOPALAIAH,Janata Dal (Secular),Mahalakshmi Layout,1,1,Won - had more than 50% votes
Bengaluru Karnataka,BJP,2nd,47118,Lost_,N.L. NARENDRA BABU,Bharatiya Janata Party,Mahalakshmi Layout,0,1,Lost
Bengaluru Karnataka,Cong-JDS,3rd,20496,Lost_,MANJUNATHA H.S,Indian National Congress,Mahalakshmi Layout,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,497,Lost_,RAJA. A,Independent,Mahalakshmi Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,482,Lost_,N. GIRISH GOWDA,Nationalist Congress Party,Mahalakshmi Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,260,Lost_,PADMA. H,Janata Dal (United),Mahalakshmi Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,219,Lost_,ASWATHA,Rashtriya Manav Vikas Party,Mahalakshmi Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,217,Lost_,GOVINDARAJU T,All India Mahila Empowerment Party,Mahalakshmi Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,207,Lost_,M. SHAKUNTHALA,All India Janaraksha Party,Mahalakshmi Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,171,Lost_,MANOHAR H. AYYANNAVAR,Independent,Mahalakshmi Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,133,Lost_,V. PASANNA KUMAR,Independent,Mahalakshmi Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,123,Lost_,SUNIL KUMAR. V,Kannada Paksha,Mahalakshmi Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,4th,1739,Lost_,None of the Above,NOTA,Mahalakshmi Layout,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,103038,Won_,DR.K.ANNADANI,Janata Dal (Secular),Malavalli,1,1,Won - had more than 50% votes
Southern Karnataka,Cong-JDS,2nd,76278,Lost_,P.M.NARENDRASWAMY,Indian National Congress,Malavalli,0,1,Lost
Southern Karnataka,BJP,3rd,10808,Lost_,B.SOMASHEKHAR,Bharatiya Janata Party,Malavalli,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,820,Lost_,M.S.SHASHIKUMAR,Indian New Congress Party,Malavalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,523,Lost_,R.SIDDARAJU,Independent,Malavalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,363,Lost_,M.KRISHNAMURTHY,Bharatiya Rashtriya Mahila Sarvodaya Congress,Malavalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,292,Lost_,T.N.SATHEESH KUMAR,Independent,Malavalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,223,Lost_,M.NANJAPPA,Independent,Malavalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,222,Lost_,H.MAHADEVA,Independent,Malavalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,172,Lost_,H.D.DEVAPRASAD,Independent,Malavalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,171,Lost_,MANTYALINGU,Republican Party of India (A),Malavalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,170,Lost_,VISHWANATHA G.S.,All India Mahila Empowerment Party,Malavalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,124,Lost_,T.C.VENKATESH,Rashtriya Manav Vikas Party,Malavalli,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,4th,1471,Lost_,None of the Above,NOTA,Malavalli,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,BJP,1st,83130,Won_,DR. ASHWATH NARAYAN.C.N.,Bharatiya Janata Party,Malleshwaram,1,1,Won - had more than 50% votes
Bengaluru Karnataka,Cong-JDS,2nd,29130,Lost_,KENGAL SHREEPADHARENU,Indian National Congress,Malleshwaram,0,1,Lost
Bengaluru Karnataka,Cong-JDS,3rd,7884,Lost_,MADHUSUDHAN N,Janata Dal (Secular),Malleshwaram,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,273,Lost_,SUBRAMANYA SHARMA GOURAVARAM,All India Mahila Empowerment Party,Malleshwaram,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,185,Lost_,N RAJANNA,Independent,Malleshwaram,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,158,Lost_,ADITYA .R .A,Independent,Malleshwaram,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,157,Lost_,R VENKATESH,Jai Bharath Jena Sena Party,Malleshwaram,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,126,Lost_,ANAND M.B.,Kannada Paksha,Malleshwaram,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,106,Lost_,KRISHNAIAH,Rashtriya Manav Vikas Party,Malleshwaram,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,95,Lost_,MANDAGERE RAMAKUMAR,Karunaadu Party,Malleshwaram,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,91,Lost_,MALLIKARJUN L S,Jana Samanyara Party (Karnataka),Malleshwaram,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,88,Lost_,PRAKASH K R,Independent,Malleshwaram,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,85,Lost_,P R PRADEEP,Independent,Malleshwaram,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,4th,2157,Lost_,None of the Above,NOTA,Malleshwaram,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,75677,Won_,K.Y. NANJEGOWDA,Indian National Congress,Malur,1,1,Won
Southern Karnataka,Cong-JDS,2nd,57762,Lost_,K.S.MANJUNATH GOWDA,Janata Dal (Secular),Malur,0,1,Lost
Southern Karnataka,BJP,3rd,23889,Lost_,ES.EN.KRISSHNAIAH SETTY MALUR,Bharatiya Janata Party,Malur,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,4th,1291,Lost_,K.GOPALAPPA,Indian New Congress Party,Malur,0,0,Lost - had less than 20% votes
